Time,lowAlpha,highAlpha,lowBeta,highBeta
187.134942055,74964,53537,51756,23119
188.119567871,38374,16114,7219,19318
189.104526043,7810,16142,16243,20734
190.124339104,254,3698,1746,2467
191.102005005,2893,330,2050,5412
192.094784975,707,1441,932,4018
193.109886885,15789,10799,1829,3807
194.09740901,2485,1690,3487,1930
195.083566904,1093,594,1594,1298
196.061398029,10336,14203,11804,3444
197.081186056,2050,1813,3417,2826
198.072437048,12414,3017,1688,4492
199.048361063,663,1065,698,1388
200.076189041,7732,2746,6478,7767
201.060914993,41631,35839,21364,28607
202.040090084,5368,9503,9817,15608
203.064864874,25972,59898,34976,20912
204.043260098,11968,14406,8073,23983
205.030066013,2786,1362,2842,3634
206.053613901,6074,9150,4683,9208
207.036293983,3436,5013,8121,4456
208.021390915,1889,2154,1996,2282
209.053683996,16648,4970,4592,3421
210.02967,24339,69518,47785,23327
211.007255077,1897,797,1211,2923
212.032087088,7945,14738,21444,28162
213.017554998,1342,1941,801,1168
213.998501062,5388,3625,4691,13626
215.027484894,5034,2632,3780,2109
216.005942106,1128,1481,2011,3819
216.994746923,605,3819,2576,1083
218.008464098,2719,281,1014,2847
219.000047922,1906,2359,2096,7602
219.974690914,23895,11489,1733,2844
220.986397028,52883,26371,3540,10033
221.984721899,937,2613,4471,4124
222.964720964,11844,6854,8880,7708
223.973705053,50,1560,1969,1578
224.979705095,452,1516,3074,3127
225.963600874,2271,1463,1155,2853
226.964854956,18903,10024,4961,6637
227.967246056,15852,1989,1951,2309
228.952542067,9771,1949,1901,2478
229.951123953,577,1130,2209,2163
230.953583956,3100,2570,1884,1355
231.935864925,3784,3299,5187,1834
232.94510603,1796,4079,1362,2780
233.941346884,11235,2733,2534,3792
234.931416988,12165,6041,2069,5011
235.938721895,7694,5076,3012,12001
236.928833961,9000,8815,1546,5820
237.920141935,3481,1075,2273,1383
238.916362047,16532,2926,8218,5273
239.921336889,19030,21848,17535,14073
240.910326958,9562,8984,2946,12683
241.910243988,11832,3501,18898,9976
242.913547993,33763,19524,10789,4831
243.894032001,13277,16087,2287,3371
244.900070906,1361,533,692,443
245.878931046,957,5035,2051,3898
246.886209965,3329,8898,2586,1506
247.888993979,2742,1975,2356,4601
248.876717091,6998,8056,3931,2880
249.877650023,18269,6583,2474,3303
250.885288,5774,2066,1960,4780
251.857970953,2828,4926,5137,2724
252.867245913,1156,6029,17936,18551
253.86777091,5588,2450,3684,2596
254.854033947,1693,2236,2046,3205
255.85019803,5456,25497,9428,20594
256.861519098,840,2725,3202,1458
257.837461948,1874,929,2447,2064
258.847430944,2012,5130,1586,4145
259.84739995,7302,3950,3547,4354
260.833719015,1386,2244,2889,3146
261.829890966,14353,16873,11518,7898
262.838532925,263,2542,1302,3135
263.816222906,1408,1710,1550,579
264.825030088,76,1342,2832,550
265.827585936,9095,5294,8619,7370
266.812843084,755,2036,1242,1602
267.817174911,3398,4567,4654,4841
268.817543983,3800,2355,3007,5958
269.799022913,3059,5481,611,2639
270.782445908,34997,3693,17705,14483
271.804038048,8587,7563,15822,18820
272.792332888,2216,685,3261,2309
273.768676043,4477,4682,1394,2474
274.793600082,1236,2657,2036,2497
275.77926898,250,1723,5655,3367
276.757893085,5497,1027,4083,3301
277.784055948,50519,25171,25107,25835
278.770350933,13331,15462,7587,31334
279.756701946,20114,10471,1024,3610
280.777519941,2901,2953,3297,7094
281.759999037,4898,2973,1593,2994
282.745352983,4450,4333,6368,15816
283.761547089,1636,951,2508,4589
284.748800993,7094,2442,1978,1516
285.735553026,2276,26511,8199,11974
286.758085012,24985,13605,23768,22215
287.741664886,3334,4171,2412,4332
288.721390963,4530,8804,6776,7249
289.747581959,10599,24862,48838,21387
290.72913003,4989,3987,1836,1387
291.708112955,1827,5537,2091,6980
292.729247093,1404,3398,5282,3567
293.717887878,5621,1880,2607,2803
294.702651978,41061,31743,20720,21573
295.68175602,3714,17245,19744,38301
296.700417995,8762,19934,11311,7906
297.685519934,8769,2418,2355,3934
298.680468082,1280,827,5346,2545
299.695599079,93472,72248,5333,12604
300.678649902,878,776,1730,2243
301.659393072,39531,27699,40745,32638
302.686353922,10816,7158,9534,25221
303.672998905,3870,3380,3406,3122
304.648111105,7306,7511,5210,7167
305.671773911,4235,612,3707,5713
306.65772295,1794,368,5556,3960
307.650202036,4590,2093,6257,8940
308.666419983,154,3862,776,1546
309.649168968,11879,5699,10375,7843
310.628155947,26239,16824,7691,14297
311.653969049,7006,4980,5180,2649
312.637064934,11220,2845,8119,5398
313.615727901,7307,1806,3172,4244
314.642724991,826,5704,3556,18298
315.629404068,14352,66038,64322,30682
316.605638981,7036,2698,1869,1029
317.632818937,10816,6364,12975,11234
318.616846085,6699,1189,6284,8671
319.595658064,1663,1339,1847,5188
320.606589079,2393,4078,6544,5452
321.608090878,33121,14761,8555,4970
322.593307972,4103,8287,6839,3774
323.596844912,3583,9614,10166,6538
324.597800016,28283,12275,10748,28381
325.578181982,4934,20913,28813,24406
326.587933064,11882,2542,2153,4273
327.586920977,7452,2047,5575,4215
